,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
156,"Someone You Loved","Lewis Capaldi",1637607,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
157,"Tongue Tied",Grouplove,1615129,https://open.spotify.com/track/0GO8y8jQk1PkHzS31d699N
158,"Late At Night","Roddy Ricch",1614923,https://open.spotify.com/track/1fxYz1s15pyZLsJT0Hdh1m
159,breadwinner,"Kacey Musgraves",1611822,https://open.spotify.com/track/2stbjvpFujerfDUuUUPX7o
160,"edamame (feat. Rich Brian)",bbno$,1610135,https://open.spotify.com/track/1uMHCAyGmHqyygoNRuo7MV
161,"Ball If I Want To",DaBaby,1609479,https://open.spotify.com/track/0cu0rhnlCnJ7JIeHRiLpj3
162,"WITHOUT YOU","The Kid LAROI",1609017,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
163,"Wockesha (with Lil Wayne & Ashanti) - Remix","Moneybagg Yo",1608248,https://open.spotify.com/track/3mLx5JNbIi12thSZ4ExWHg
164,"LOST IN THE CITADEL","Lil Nas X",1604835,https://open.spotify.com/track/6th8IdY4lYeM0QlSQJhhkp
165,"Laugh Now Cry Later (feat. Lil Durk)",Drake,1585024,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
166,"you broke me first","Tate McRae",1579601,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
167,"Pursuit Of Happiness (Nightmare)","Kid Cudi",1578063,https://open.spotify.com/track/4kTLpAbhuEGHAAdDjOIWaa
168,Paralyzed,Sueco,1568306,https://open.spotify.com/track/39r4amB8iJUXsHqoin35MF
169,"Matt Hardy 999 (feat. Juice WRLD)","Trippie Redd",1568114,https://open.spotify.com/track/1HsOTiVqdN7PB1zOS2bcsO
170,"MIDDLE CHILD","J. Cole",1567402,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
171,"The Less I Know The Better","Tame Impala",1563903,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
172,September,"Earth, Wind & Fire",1557384,https://open.spotify.com/track/4f2GB5ZC7vOUYPAg69N2Xw
173,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1556222,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
174,"Chosen (feat. Ty Dolla $ign)",Blxst,1552736,https://open.spotify.com/track/1dIWPXMX4kRHj6Dt2DStUQ
175,"The Way Life Goes (feat. Oh Wonder)","Lil Uzi Vert",1546042,https://open.spotify.com/track/2eAZfqOm4EnOF9VvN50Tyc
176,"Don't Be Shy",Tiësto,1544296,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
177,"Ready (feat. Gunna)","Lil Baby",1542876,https://open.spotify.com/track/4F6yN5FsFW10Ucx7cLCzBh
178,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",1541620,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
179,"Save Your Tears","The Weeknd",1540214,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
180,Butter,BTS,1536294,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
181,"Tennessee Whiskey","Chris Stapleton",1534502,https://open.spotify.com/track/3fqwjXwUGN6vbzIwvyFMhx
182,"Die For You","The Weeknd",1533762,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
183,"Ric Flair Drip (& Metro Boomin)",Offset,1528843,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
184,Teenagers,"My Chemical Romance",1526307,https://open.spotify.com/track/7j31rVgGX9Q2blT92VBEA0
185,"Tyler Herro","Jack Harlow",1526095,https://open.spotify.com/track/3w1WjD2zJqjBjDz5fwqQPJ
186,"See You Again (feat. Kali Uchis)","Tyler, The Creator",1515965,https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB
187,"Blueberry Faygo","Lil Mosey",1514150,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
188,"What You Know Bout Love","Pop Smoke",1513609,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
189,Up,"Cardi B",1511490,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
190,positions,"Ariana Grande",1508928,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
191,"Before You Go","Lewis Capaldi",1508021,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
192,"The Hills","The Weeknd",1504298,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
193,"WAP (feat. Megan Thee Stallion)","Cardi B",1496629,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
194,Heartless,"Kanye West",1494175,https://open.spotify.com/track/4EWCNWgDS8707fNSZ1oaA5
195,"Don't Go Yet","Camila Cabello",1486595,https://open.spotify.com/track/1058fW9H3fZA6QjYCdOBad
196,Classic,MKTO,1485869,https://open.spotify.com/track/6FE2iI43OZnszFLuLtvvmg
197,"Wasted On You","Morgan Wallen",1484427,https://open.spotify.com/track/3cBsEDNhFI9E82vPj3kvi3
198,"AM I DREAMING (feat. Miley Cyrus)","Lil Nas X",1483911,https://open.spotify.com/track/6isTQfKXhNO3EyJd9mSxx8
199,"Don't Stop Believin'",Journey,1482359,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
200,"lovely (with Khalid)","Billie Eilish",1481411,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
