title,artist,songid,streams,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Tiroteo - Remix,"Marc Seguí, Rauw Alejandro, Pol Granch",4OwhwvKESFtuu06dTgct7i,1004497,global,0.75,0.522,9.0,-7.018,1.0,0.0293,0.282,0.0,0.0743,0.601,110.427,321556.0,4.0
Jugaste y Sufrí,"Eslabon Armado, DannyLux",3NqBxTOMCJ3zW9CIP51td4,994384,global,0.39,0.499,7.0,-7.778,1.0,0.0381,0.632,0.000497,0.115,0.34,200.156,275194.0,1.0
Before You Go,Lewis Capaldi,2gMXnyrvIjhVBUZwvLZDMP,991494,global,0.459,0.575,3.0,-4.858,1.0,0.0573,0.604,0.0,0.0885,0.183,111.881,215107.0,4.0
Believer,Imagine Dragons,0pqnGHJpmpxLKifKRmU6WP,980054,global,0.776,0.78,10.0,-4.374,0.0,0.128,0.0622,0.0,0.081,0.666,124.949,204347.0,4.0
Chosen (feat. Ty Dolla $ign),"Blxst, Tyga",1dIWPXMX4kRHj6Dt2DStUQ,974300,global,0.571,0.767,2.0,-5.16,1.0,0.287,0.336,0.0,0.0809,0.605,93.421,161684.0,4.0
positions,Ariana Grande,35mvY5S1H3J2QZyna3TFe0,954985,global,0.737,0.802,0.0,-4.771,1.0,0.0878,0.468,0.0,0.0931,0.682,144.015,172325.0,4.0
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers",4cG7HUWYHBV6R6tHn1gxrl,951406,global,0.824,0.862,2.0,-3.424,1.0,0.126,0.0076,0.000132,0.303,0.801,122.98,169153.0,4.0
Circles,Post Malone,21jGcNKet2qwijlDFuPiPb,941567,global,0.695,0.762,0.0,-3.497,1.0,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280.0,4.0
Have Mercy,Chlöe,5SixeLvPsYpk7qq9lo5xYg,928275,global,0.903,0.535,9.0,-6.434,1.0,0.0742,0.297,0.0,0.345,0.508,130.022,148779.0,4.0
911 - Remix,"Sech, Jhay Cortez",27RSJHEA99Y0Vsow7nA37A,927623,global,0.816,0.71,7.0,-3.728,1.0,0.0398,0.165,0.0,0.292,0.784,93.02,208631.0,4.0
RAPSTAR,Polo G,18vXApRmJSgQ6wG2ll9AOg,926207,global,0.789,0.536,6.0,-6.862,1.0,0.242,0.41,0.0,0.129,0.437,81.039,165926.0,4.0
Dance Monkey,Tones And I,2N8m6CYs74qQO4mjVcXO30,922433,global,0.824,0.587,6.0,-6.401,0.0,0.0937,0.69,0.000105,0.149,0.514,98.029,209438.0,4.0
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",0RiRZpuVRbi7oqRdSMwhQY,921079,global,0.755,0.522,2.0,-4.368,1.0,0.0575,0.533,0.0,0.0685,0.925,89.96,157560.0,4.0
Heartbreak Anniversary,Giveon,3FAJ6O0NOHQV8Mc5Ri6ENp,913975,global,0.449,0.465,0.0,-8.964,1.0,0.0791,0.524,1.02e-06,0.303,0.543,89.087,198371.0,3.0
Yellow,Coldplay,3AJwUDP919kvQ9QcozQPxg,912952,global,0.429,0.661,11.0,-7.227,1.0,0.0281,0.00239,0.000121,0.234,0.285,173.372,266773.0,4.0
Shape of You,Ed Sheeran,7qiZfU4dY1lWllzX7mPBI3,902804,global,0.825,0.652,1.0,-3.183,0.0,0.0802,0.581,0.0,0.0931,0.931,95.977,233713.0,4.0
double take,dhruv,2CVChktEKBsM6v4IfdFU5k,902687,global,0.663,0.434,8.0,-11.177,1.0,0.0648,0.828,0.0,0.249,0.225,109.075,171743.0,4.0
